"document_id","archivsignatur","folio","title","document_type","source_row","source_url"
"UAKUG/NIM_004_1","UAKUG/NIM_004","1","Kopie eines Briefumschlags adressiert an Malaniuk, Signatur und Poststempel aus New York","photokopie","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_2","UAKUG/NIM_004","2","Rezension zu Lady Macbeth in der Verdi- Premiere der Staatsoper","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_3","UAKUG/NIM_004","3","Rezension von Karl Schumann zu Macbeth","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_4","UAKUG/NIM_004","4","Rezension von H. Schmidt-Garre zu Macbeth an der Bayerischen Staatsoper","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_5","UAKUG/NIM_004","5","Rezension von K.H. Ruppel zu Orpheus und Eurydike in der Süddeutschen Zeitung","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_6","UAKUG/NIM_004","6","Rezension von Karl Schumann zur Premiere von Orpheus und Eurydike ","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_7","UAKUG/NIM_004","7","Rezension von Dr. Joachim Bergfeld (Fränkische Presse) zur IX. Symphonie Beethovens","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_8","UAKUG/NIM_004","8","Rezension von Helmut Schmidt-Garre","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_9","UAKUG/NIM_004","9","Rezension von A. Parente zu Tristan und Isolde in Neapel","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_10","UAKUG/NIM_004","10","Rezensionen aus der Fränkischen Presse zu ""Die Götterdämmerung"" und ""Tristan und Isolde""","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_11","UAKUG/NIM_004","11","Rezension zu Paul Hindemith in Köln","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_12","UAKUG/NIM_004","12","Rezension von Dr. Kurt Honolka zu Titus","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
"UAKUG/NIM_004_13","UAKUG/NIM_004","13","Rezension zur Festvorstellung Meistersinger aus dem Münchner Merkur","rezension","1","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv"
