Kleines Alphabet der Festspielkünstler	Der Ring des Nibelungen	Lohengrin	Tristan und Isolde	Parsifal
Theo Adam, Dresden		4. Edler		4. Knappe
Hans Braun, Wien		Heerrufer		
Hasso Eschert, Köln			Melot	
Bruni Falcon, Frankfurt a. M.	Freia, Ortlinde			
Werner Faulhaber, Dresden	Donner		Steuermann	2. Gralsritter
Brünnhild Friedland, Dresden	Gerhilde			
Josef Greindl, Berlin	Hunding, Hagen, Fafner	König Heinrich		Titurel
Hans Hotter, München	Wotan, Wanderer			Amfortas (V)
Maria von Ilosvay, Hamburg	Erda, Schwertleite, 1. Norn			Altsolo
Joseph Janko, Graz		2. Edler		
Paul Kuen, München	Mime			
Gisela Litz, Hamburg	Rheintochter, Siegrune			Soloblume, 2. Knappe
George London, Wien				Amfortas
Ira Malaniuk, München	Fricka, Waltraute		Brangäne	
Martha Mödl, Hamburg	Brünnhilde (I. Zyklus)		Isolde *	Kundry
Gustav Neidlinger, Stuttgart	Alberich		Kurwenal	
Sibylle Plate, Koblenz	Grimgerde			
Hetty Plümacher, Stuttgart	Rheintochter			Soloblume
Regina Resnik, New York	Sieglinde, 3. Norn			
Eleanor Steber, New York		Elsa		
Gerhard Stolze, Dresden	Froh	1. Edler	Hirt	3. Knappe
Rita Streich, Berlin	Waldvogel			Soloblume
Liselotte Thomamüller, Bremen	Helmwige			
Gene Tobin, Düsseldorf			Junger Seemann	1. Gralsritter
Hermann Uhde, München	Gunther	Telramund		Klingsor
Astrid Varnay, New York	Brünnhilde (II. Zyklus)	Ortrud	Isolde **	
Ramon Vinay, New York	Siegmund		Tristan	Parsifal
Ludwig Weber, Wien			Marke	Gurnemanz
Wolfgang Windgassen, Stuttgart	Siegfried	Lohengrin		Parsifal
Erich Witte, Berlin	Loge			
