"evidence_id","document_id","title","date","place","recorded_role","source_statement","cataloguing_note","context_note","malaniuk_recorded_role","sender","recipient","source_url","source_csv_row","object_source_url","object_source_row"
"box1-row-3469","UAKUG/NIM_011_11","Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","1954-06-30","Bayreuth","entstehung","Bayreuth, 1954-06-30","","Place and date of document creation. This does not establish the recipient's location.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3469","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3470","UAKUG/NIM_011_11","Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","1954-08-07","Bayreuth","probe","Bayreuth, 1954-08-07","Das Jahr steht nicht in der Korrespondenz, stimmt aber halbwegs mit der Tätigkeitsliste überein, daher habe ich angenommen, dass es sich um 1954 handelt.","Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3470","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3471","UAKUG/NIM_011_11","Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","1954-08-08","Bayreuth","probe","Bayreuth, 1954-08-08","","Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3471","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3472","UAKUG/NIM_011_11","Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","1954-08-09","Bayreuth","Generalprobe","Bayreuth, 1954-08-09","","Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3472","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3473","UAKUG/NIM_011_11","Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","1954-08-09","Bayreuth","auftritt","Bayreuth, 1954-08-09","","Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3473","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3537","UAKUG/NIM_011_13","Korrespondenz von Carl-Heiz Klebe an Ira Malaniuk zu Verträgen","1954-06-09","Bayreuth","entstehung","Bayreuth, 1954-06-09","","Place and date of document creation. This does not establish the recipient's location.","empfänger:in","Klebe, Carl-Heinz","Malaniuk, Ira","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3537","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3543","UAKUG/NIM_011_14","Korrespondenz von Ira Malaniuk an Dr. Dorothea Angerer zu den Festspielen in Bayreuth und München","1952-12-13","München","entstehung","München, 1952-12-13","","Place and date of document creation. This does not establish the recipient's location.","verfasser:in","Malaniuk, Ira","Angerer, Dr. Dorothea","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3543","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3544","UAKUG/NIM_011_14","Korrespondenz von Ira Malaniuk an Dr. Dorothea Angerer zu den Festspielen in Bayreuth und München","1953-08-11","München","auftritt","München, 1953-08-11","","Mention or proposed event in correspondence. Occurrence and attendance require source review.","verfasser:in","Malaniuk, Ira","Angerer, Dr. Dorothea","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3544","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3557","UAKUG/NIM_011_15","Korrespondenz von Ira Malaniuk an Wieland Wagner zu Proben in Bayreuth","1952-11-09","München","entstehung","München, 1952-11-09","","Place and date of document creation. This does not establish the recipient's location.","verfasser:in","Malaniuk, Ira","Wagner, Wieland","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3557","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
"box1-row-3558","UAKUG/NIM_011_15","Korrespondenz von Ira Malaniuk an Wieland Wagner zu Proben in Bayreuth","1952-11-08","München","erwähnt","München, 1952-11-08","Im Text ""Gestern"" daher Datum verm. 08.11.1952","Mention or proposed event in correspondence. Occurrence and attendance require source review.","verfasser:in","Malaniuk, Ira","Wagner, Wieland","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv","3558","https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/M3GIM-Objekte.csv","1"
