evidence_id,document_id,date,place,recorded_role,date_type,date_status,title,source_statement,note,source_url
box1-row-3558,UAKUG/NIM_011_15,1952-11-08,München,erwähnt,mention,inferred_day,Korrespondenz von Ira Malaniuk an Wieland Wagner zu Proben in Bayreuth,"München, 1952-11-08","Im Text ""Gestern"" daher Datum verm. 08.11.1952 Mention or proposed event in correspondence. Occurrence and attendance require source review.",https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3557,UAKUG/NIM_011_15,1952-11-09,München,entstehung,document,not_flagged,Korrespondenz von Ira Malaniuk an Wieland Wagner zu Proben in Bayreuth,"München, 1952-11-09",Place and date of document creation. This does not establish the recipient's location.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3543,UAKUG/NIM_011_14,1952-12-13,München,entstehung,document,not_flagged,Korrespondenz von Ira Malaniuk an Dr. Dorothea Angerer zu den Festspielen in Bayreuth und München,"München, 1952-12-13",Place and date of document creation. This does not establish the recipient's location.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3544,UAKUG/NIM_011_14,1953-08-11,München,auftritt,event,not_flagged,Korrespondenz von Ira Malaniuk an Dr. Dorothea Angerer zu den Festspielen in Bayreuth und München,"München, 1953-08-11",Mention or proposed event in correspondence. Occurrence and attendance require source review.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3469,UAKUG/NIM_011_11,1954-06-30,Bayreuth,entstehung,document,not_flagged,"Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","Bayreuth, 1954-06-30",Place and date of document creation. This does not establish the recipient's location.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3470,UAKUG/NIM_011_11,1954-08-07,Bayreuth,probe,event,inferred_year,"Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","Bayreuth, 1954-08-07","Das Jahr steht nicht in der Korrespondenz, stimmt aber halbwegs mit der Tätigkeitsliste überein, daher habe ich angenommen, dass es sich um 1954 handelt. Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established.",https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3472,UAKUG/NIM_011_11,1954-08-09,Bayreuth,Generalprobe,event,year_requires_review,"Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","Bayreuth, 1954-08-09",Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established. Teaching flag: the same enquiry contains an inferred year; this related event year needs source review.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3473,UAKUG/NIM_011_11,1954-08-09,Bayreuth,auftritt,event,year_requires_review,"Anfrage von Carl-Heinz Klebe an Ira Malaniuk, Altsolo neunte Sinfonie Beethoven in Bayreuth","Bayreuth, 1954-08-09",Future rehearsal/performance in an enquiry; the cataloguer flags the year as inferred for the first rehearsal. Attendance is not established. Teaching flag: the same enquiry contains an inferred year; this related event year needs source review.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3295,UAKUG/NIM_007_5_2,1957-01-04,Wien,gastspiel,event,not_flagged,"Kassa-Eingang, Einzahlungsnachweis der Konzertdirektion, 1957-05-01","Wien, 1957-01-04",Guest-performance date recorded in a payment document. Payment and performance dates must be distinguished; attendance requires source review.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-3297,UAKUG/NIM_007_5_2,1957-04-25,Wien,gastspiel,event,not_flagged,"Kassa-Eingang, Einzahlungsnachweis der Konzertdirektion, 1957-05-01","Wien, 1957-04-25",Guest-performance date recorded in a payment document. Payment and performance dates must be distinguished; attendance requires source review.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-535,UAKUG/NIM_004_22,1957-09-07,Wien,entstehung,document,not_flagged,Brief von Ira Malaniuk an Cox vom 07.09.1957,"Wien, 1957-09-07",Place and date of document creation or dispatch. This does not establish the recipient's location.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
box1-row-543,UAKUG/NIM_004_23,1957-11-26,Wien,entstehung,document,not_flagged,Brief von Ira Malaniuk an Cox vom 26.11.1957,"Wien, 1957-11-26",Place and date of document creation or dispatch. This does not establish the recipient's location.,https://raw.githubusercontent.com/DigitalHumanitiesCraft/m3gim/bec2a068802e9f2cb9885df072699b269d6efaa9/data/google-spreadsheet/verknuepfungen/Box_1.csv
